Regiao,Categoria,Produto,Estado,Vendas
Norte,Premium,Notebook Pro X,Amazonas,8500
Norte,Standard,Notebook Slim,Pará,4200
Norte,Econômico,Mouse USB,Roraima,800
Nordeste,Premium,Smartphone Ultra,Bahia,9200
Nordeste,Standard,Smartphone Lite,Pernambuco,5300
Nordeste,Econômico,Fone Bluetooth,Ceará,1200
Sudeste,Premium,TV 4K Vision,São Paulo,15000
Sudeste,Standard,TV LED 32,Minas Gerais,7000
Sudeste,Econômico,Controle Remoto,Rio de Janeiro,900
Sul,Premium,Console Gamer,Paraná,8700
Sul,Standard,Monitor Curvo,Santa Catarina,5500
Sul,Econômico,Teclado USB,Rio Grande do Sul,1000
Centro-Oeste,Premium,Notebook Vision,Goiás,7800
Centro-Oeste,Standard,"Tablet 10""",Mato Grosso,5500
Centro-Oeste,Econômico,Headset Gamer,Mato Grosso do Sul,1000
Norte,Premium,Notebook Pro X,Amazonas,8500
Norte,Standard,Notebook Slim,Pará,4200
Norte,Econômico,Mouse USB,Roraima,800
Nordeste,Premium,Smartphone Ultra,Bahia,9200
Nordeste,Standard,Smartphone Lite,Pernambuco,5300
Nordeste,Econômico,Fone Bluetooth,Ceará,1200
Sudeste,Premium,TV 4K Vision,São Paulo,15000
Sudeste,Standard,TV LED 32,Minas Gerais,7000
Sudeste,Econômico,Controle Remoto,Rio de Janeiro,900
Sul,Premium,Console Gamer,Paraná,8700
Sul,Standard,Monitor Curvo,Santa Catarina,5500
Sul,Econômico,Teclado USB,Rio Grande do Sul,1000
Centro-Oeste,Premium,Notebook Vision,Goiás,7800
Centro-Oeste,Standard,"Tablet 10""",Mato Grosso,5500
Centro-Oeste,Econômico,Headset Gamer,Mato Grosso do Sul,1000
Norte,Premium,Notebook Pro X,Amazonas,8500
Norte,Standard,Notebook Slim,Pará,4200
Norte,Econômico,Mouse USB,Roraima,800
Nordeste,Premium,Smartphone Ultra,Bahia,9200
Nordeste,Standard,Smartphone Lite,Pernambuco,5300
Nordeste,Econômico,Fone Bluetooth,Ceará,1200
Sudeste,Premium,TV 4K Vision,São Paulo,15000
Sudeste,Standard,TV LED 32,Minas Gerais,7000
Sudeste,Econômico,Controle Remoto,Rio de Janeiro,900
Sul,Premium,Console Gamer,Paraná,8700
Sul,Standard,Monitor Curvo,Santa Catarina,5500
Sul,Econômico,Teclado USB,Rio Grande do Sul,1000
Centro-Oeste,Premium,Notebook Vision,Goiás,7800
Centro-Oeste,Standard,"Tablet 10""",Mato Grosso,5500
Centro-Oeste,Econômico,Headset Gamer,Mato Grosso do Sul,1000
Norte,Premium,Notebook Pro X,Amazonas,8500
Norte,Standard,Notebook Slim,Pará,4200
Norte,Econômico,Mouse USB,Roraima,800
Nordeste,Premium,Smartphone Ultra,Bahia,9200
Nordeste,Standard,Smartphone Lite,Pernambuco,5300
Nordeste,Econômico,Fone Bluetooth,Ceará,1200
Sudeste,Premium,TV 4K Vision,São Paulo,15000
Sudeste,Standard,TV LED 32,Minas Gerais,7000
Sudeste,Econômico,Controle Remoto,Rio de Janeiro,900
Sul,Premium,Console Gamer,Paraná,8700
Sul,Standard,Monitor Curvo,Santa Catarina,5500
Sul,Econômico,Teclado USB,Rio Grande do Sul,1000
Centro-Oeste,Premium,Notebook Vision,Goiás,7800
Centro-Oeste,Standard,"Tablet 10""",Mato Grosso,5500
Centro-Oeste,Econômico,Headset Gamer,Mato Grosso do Sul,1000
Norte,Premium,Notebook Pro X,Amazonas,8500
Norte,Standard,Notebook Slim,Pará,4200
Norte,Econômico,Mouse USB,Roraima,800
Nordeste,Premium,Smartphone Ultra,Bahia,9200
Nordeste,Standard,Smartphone Lite,Pernambuco,5300
Nordeste,Econômico,Fone Bluetooth,Ceará,1200
Sudeste,Premium,TV 4K Vision,São Paulo,15000
Sudeste,Standard,TV LED 32,Minas Gerais,7000
Sudeste,Econômico,Controle Remoto,Rio de Janeiro,900
Sul,Premium,Console Gamer,Paraná,8700
Sul,Standard,Monitor Curvo,Santa Catarina,5500
Sul,Econômico,Teclado USB,Rio Grande do Sul,1000
Centro-Oeste,Premium,Notebook Vision,Goiás,7800
Centro-Oeste,Standard,"Tablet 10""",Mato Grosso,5500
Centro-Oeste,Econômico,Headset Gamer,Mato Grosso do Sul,1000
